PPS,FER,APPF,SFP,PS,H,dIP,sIP,lable1,lable2
428,0,10.7,0.2,0,0.079418557,0.079418557,0.042019783,0,1
444.5,433,0.456365503,0.981714286,0.016729736,6.588891261,6.588891261,0,1,0
493.5,486,0.129612607,0.988752556,0.010080212,6.774806324,6.774806324,0,1,0
511.5,498.5,0.084741551,0,0.017439595,6.729263458,6.729263458,0,1,0
548.5,541,1.013863216,0,0.010878875,6.876475502,6.876475502,0,1,0
558.5,0.5,21.48076923,0,0.075038376,0.217432517,0.132331887,0.176237888,0,1
573.5,0.5,12.07368421,0,0.043312981,0.115933238,0.094862449,0.172137947,0,1
596.5,586,0.179587536,0.987288136,0.011665994,6.942078197,6.942078197,0,1,0
627,0,17.17808219,0.125,0,0.136248262,0.114759715,0.276319167,0,1
683.5,0,18.22666667,0.2,0,0.109323381,0.115987919,0.055135768,0,1
782.5,773,0.191110026,0,0.008272113,7.254272812,7.254272812,0,1,0
885,0,23.6,0.166666667,0,0.173316667,0.112582459,0.446564443,0,1
902.5,874.5,0.329921404,0.978518937,0.020287068,7.235142538,7.235142538,0,1,0
918.5,887,0.493551854,0.976614699,0.022599982,7.22443119,7.22443119,0,1,0
1363,1320,0.732401934,0.000374532,0.020689609,7.62998176,7.62998176,0,1,0
1499,1460.5,0.451302123,0.000339213,0.016865821,7.77473285,7.77473285,0,1,0
